Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1     86     3462.4463      2956.0598         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0067         1.2100         0.0064         0.0011         0.1792         1.0000        10.9626        -2.9168       -43.8193        35.7729       412.2066       408.1637         1.1436        11.9551         0.0521        20.1090        19.3333        26.8730         0.1347         0.1432         0.0000  -0.0067466176   0.0000000659   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     87     3462.4456      2956.0574         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0011         0.1792         1.0000        11.5132        -2.9392       -43.8040        35.2307       412.3227       408.2810         1.1445        11.9890         0.0521        20.1190        19.3488        26.7763         0.1346         0.1431         0.0000  -0.0067553991   0.0000000662   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     88     3462.4436      2956.0537         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0009         0.1792         1.0000        10.8768        -2.4170       -43.7592        35.2989       411.6620       407.6915         1.1623        12.0058         0.0521        19.9960        19.2363        26.6807         0.1346         0.1430         0.0000  -0.0067641689   0.0000000665   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     89     3462.4438      2956.0518         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0007         0.1792         1.0000        10.2502        -1.9059       -43.7159        35.3716       411.0006       407.0992         1.1639        12.0190         0.0521        19.8730        19.1238        26.5860         0.1345         0.1429         0.0000  -0.0067728707   0.0000000668   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     90     3462.4429      2956.0491         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0006         0.1792         1.0000        10.0535        -1.5759       -43.7809        35.3032       410.4092       406.5530         1.1627        11.9106         0.0521        19.7670        19.0424        26.4924         0.1345         0.1428         0.0000  -0.0067814831   0.0000000670   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     91     3462.4414      2956.0459         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0005         0.1792         1.0000         9.8488        -1.2495       -43.8452        35.2456       409.8119       405.9998         1.1655        11.8008         0.0521        19.6600        18.9598        26.4000         0.1344         0.1427         0.0000  -0.0067900517   0.0000000673   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     92     3462.4424      2956.0447         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0004         0.1792         1.0000        10.2146        -1.1784       -43.6787        34.6428       410.2299       406.4369         1.1504        12.0490         0.0521        19.7110        18.9950        26.3100         0.1344         0.1426         0.0000  -0.0067985724   0.0000000676   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     93     3462.4409      2956.0417         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0004         0.1792         1.0000        10.5786        -1.1078       -43.5148        34.0443       410.6548       406.8813         1.1499        12.2961         0.0521        19.7630        19.0317        26.2223         0.1343         0.1425         0.0000  -0.0068070670   0.0000000678   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     94     3462.4399      2956.0391         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0004         0.1792         1.0000        10.3699        -0.9927       -43.0800        33.7029       411.0657       407.3021         1.1496        12.8025         0.0521        19.8130        19.0158        26.1363         0.1343         0.1424         0.0000  -0.0068155313   0.0000000681   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     95     3462.4404      2956.0374         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0003         0.1792         1.0000        10.0601        -0.8646       -42.6016        33.4060       411.4784       407.7241         1.1426        13.3521         0.0521        19.8630        18.9920        26.0518         0.1342         0.1423         0.0000  -0.0068239653   0.0000000684   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     96     3462.4399      2956.0349         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0003         0.1792         1.0000        10.0676        -0.7133       -42.6617        33.3076       410.9998       407.2590         1.1466        13.2338         0.0521        19.8020        18.9275        25.9685         0.1341         0.1422         0.0000  -0.0068323649   0.0000000686   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      2      1     3462.4390      2956.0322         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0002         0.1792         1.0000        10.0758        -0.5632       -42.7225        33.2099       410.5262       406.7989         1.1611        13.1154         0.0528        19.7420        18.8638        25.8861         0.1341         0.1421         0.0000  -0.0068407431   0.0000000699   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      2     3462.4387      2956.0303         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0068         1.2100         0.0064         0.0002         0.1792         1.0000        10.0797        -0.4900       -42.4983        32.9088       410.6697       406.9499         1.1535        13.3687         0.0528        19.7390        18.8447        25.8054         0.1340         0.1420         0.0000  -0.0068490752   0.0000000701   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      3     3462.4390      2956.0286         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0002         0.1792         1.0000        10.0800        -0.4170       -42.2735        32.6108       410.8197       407.1077         1.1516        13.6237         0.0528        19.7370        18.8266        25.7261         0.1340         0.1420         0.0000  -0.0068573891   0.0000000704   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      4     3462.4385      2956.0261         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        10.2823        -0.3431       -42.3443        32.4050       410.5067       406.8003         1.1531        13.5115         0.0528        19.7040        18.7902        25.6480         0.1339         0.1419         0.0000  -0.0068656704   0.0000000707   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      5     3462.4387      2956.0244         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        10.4827        -0.2696       -42.4168        32.2040       410.1935       406.4927         1.1522        13.3978         0.0528        19.6710        18.7540        25.5712         0.1339         0.1418         0.0000  -0.0068739285   0.0000000709   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      6     3462.4385      2956.0222         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        10.9432        -0.3032       -42.5452        31.9053       409.9540       406.2469         1.1516        13.2270         0.0528        19.6320        18.7400        25.4958         0.1338         0.1417         0.0000  -0.0068821628   0.0000000712   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      7     3462.4380      2956.0200         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        11.3792        -0.3341       -42.6656        31.6204       409.7148       406.0012         1.1538        13.0644         0.0528        19.5930        18.7245        25.4217         0.1338         0.1416         0.0000  -0.0068903808   0.0000000715   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      8     3462.4375      2956.0178         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        11.0480        -0.3332       -42.7359        32.0210       408.6182       404.8741         1.1710        12.7990         0.0528        19.4060        18.5635        25.3474         0.1337         0.1415         0.0000  -0.0068985876   0.0000000718   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2      9     3462.4382      2956.0164         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0001         0.1792         1.0000        10.7127        -0.3326       -42.8053        32.4253       407.5186       403.7442         1.1696        12.5345         0.0528        19.2180        18.4016        25.2730         0.1337         0.1414         0.0000  -0.0069067827   0.0000000720   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     10     3462.4380      2956.0142         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0000         0.1792         1.0000        10.8131        -0.1005       -42.6556        31.9428       407.8697       404.1377         1.1420        12.7791         0.0528        19.2980        18.4295        25.2004         0.1336         0.1413         0.0000  -0.0069149383   0.0000000723   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     11     3462.4375      2956.0122         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0000         0.1792         1.0000        10.9454         0.0000       -42.4593        31.5137       408.2151       404.5255         1.1386        13.0696         0.0528        19.3770        18.4477        25.1294         0.1336         0.1413         0.0000  -0.0069230651   0.0000000726   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     12     3462.4375      2956.0100         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0000         0.1792         1.0000        10.7916         0.0000       -42.1151        31.3232       408.4239       404.7383         1.1408        13.4492         0.0528        19.3790        18.4165        25.0595         0.1335         0.1412         0.0000  -0.0069311615   0.0000000728   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     13     3462.4373      2956.0078         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0000         0.1792         1.0000        10.6145         0.0000       -41.7630        31.1485       408.6274       404.9453         1.1369        13.8352         0.0528        19.3800        18.3829        24.9907         0.1335         0.1411         0.0000  -0.0069392514   0.0000000731   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     14     3462.4373      2956.0061         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0069         1.2100         0.0064         0.0000         0.1792         1.0000        11.0918         0.0000       -41.8044        30.7127       408.7264       405.0571         1.1304        13.8214         0.0528        19.4050        18.4065        24.9233         0.1334         0.1410         0.0000  -0.0069473148   0.0000000734   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     15     3462.4368      2956.0039         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000        11.5659         0.0000       -41.8480        30.2822       408.8255       405.1690         1.1312        13.8056         0.0528        19.4300        18.4304        24.8576         0.1334         0.1409         0.0000  -0.0069553666   0.0000000736   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     16     3462.4370      2956.0020         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000        11.2779         0.0000       -41.6867        30.4087       408.4259       404.7790         1.1429        13.9165         0.0528        19.3530        18.3365        24.7922         0.1333         0.1408         0.0000  -0.0069634025   0.0000000739   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     17     3462.4368      2956.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000        10.9793         0.0000       -41.5232        30.5435       408.0198       404.3819         1.1397        14.0281         0.0528        19.2750        18.2412        24.7270         0.1333         0.1407         0.0000  -0.0069714086   0.0000000742   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     18     3462.4368      2955.9980         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000        10.6531         0.0000       -41.0498        30.3967       408.3592       404.7305         1.1243        14.5616         0.0528        19.3090        18.2065        24.6627         0.1332         0.1407         0.0000  -0.0069794240   0.0000000745   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     19     3462.4360      2955.9958         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000        10.2526         0.0000       -40.5420        30.2891       408.6921       405.0723         1.1167        15.1283         0.0528        19.3420        18.1643        24.5992         0.1331         0.1406         0.0000  -0.0069874022   0.0000000747   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     20     3462.4363      2955.9941         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000         9.4207         0.0000       -40.5620        31.1412       407.1206       403.5299         1.1433        14.9017         0.0528        19.0560        17.9169        24.5344         0.1331         0.1405         0.0000  -0.0069953660   0.0000000750   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     21     3462.4363      2955.9919         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000         8.6075         0.0000       -40.5903        31.9829       405.5483       401.9843         1.1439        14.6643         0.0528        18.7690        17.6704        24.4682         0.1330         0.1404         0.0000  -0.0070033199   0.0000000753   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     22     3462.4360      2955.9902         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000         7.6602         0.0000       -38.4613        30.8012       409.2162       405.6772         1.1005        17.3683         0.0528        18.8920        17.8568        24.4052         0.1330         0.1403         0.0000  -0.0070112655   0.0000000755   0.0000000000   0.0000000000   0.0000000000   0.5401556492
      2     23     3462.4360      2955.9883         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000         6.3981         0.0000       -35.7879        29.3901       413.8561       409.3662         1.4739        21.1247         0.0528        19.0140        18.0958        24.3459         0.1329         0.1403         0.0815  -0.0152275795   0.0000000758   0.0177496672   0.4136640131   0.0000000000   0.5401556492
      2     24     3462.4368      2955.9868         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0000         0.1792         1.0000         4.0984         0.0000       -30.0739        25.9756       424.8065       422.3223         2.1609        29.1899         0.0528        19.3720        18.7686        24.2946         0.1329         0.1402         0.0815  -0.0412721597   0.0000000761   0.0331535079   0.4103587270   0.0000000000   0.5401556492
      2     25     3462.4351      2955.9834         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0001         0.1792         1.0000         1.9322        -0.1857       -24.3616        22.6150       435.7632       435.2834         2.9029        37.2533         0.0528        19.7300        19.4381        24.2511         0.1329         0.1401         0.0815  -0.0818939134   0.0000000763   0.0464098752   0.4067246914   0.0000000000   0.5401556492
      2     26     3462.4353      2955.9819         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0001         0.0000        -0.0070         1.2100         0.0064         0.0004         0.1792         1.0000        -0.8093        -1.1428       -17.8927        19.8447       446.8806       448.7213         3.7915        46.1866         0.0528        19.8460        19.9889        24.2141         0.1328         0.1400         0.0815  -0.1347191781   0.0000000766   0.0600426048   0.3797529340   0.0000000000   0.5401556492
      2     27     3462.4343      2955.9788         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0064         0.0008         0.1792         1.0000        -2.9659        -2.1724       -11.7247        16.8629       457.9983       462.1591         4.6654        54.8186         0.0528        19.9620        20.5918        24.1840         0.1327         0.1399         0.0815  -0.2048120648   0.0000000769   0.0757620707   0.3501049578   0.0000000000   0.5401556492
      2     28     3462.4316      2955.9741         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0064         0.0017         0.1792         1.0000        -8.3568        -4.5318         3.3608         9.5279       485.7517       495.2857         6.5353        75.9619         0.0528        20.6300        22.1370        24.1703         0.1327         0.1399         0.0815  -0.5545120239   0.0000000772   0.1770251393   0.3780180812   0.0000000000   0.5401556492
      2     29     3462.4280      2955.9688         0.0000         0.0000         0.0000         0.0000         0.0000         0.0012         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0064         0.0026         0.1792         1.0000       -14.5776        -7.0233        18.8809         2.7202       513.5357       528.4411         8.5289        97.5424         0.0528        21.2990        23.5857        24.1716         0.1326         0.1398         0.0815  -0.9499326348   0.0000000775   0.2583490014   0.4035613537   0.0000000000   0.5401556492
      2     30     3462.4226      2955.9614         0.0000         0.0000         0.0000         0.0000         0.0000         0.0016         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0064         0.0035         0.1792         1.0000       -22.4316        -9.4094        34.2518        -2.4108       538.9722       559.0389        10.4790       118.5242         0.0528        21.6970        24.6898        24.1843         0.1326         0.1397         0.0815  -1.3036487103   0.0000000778   0.3109430969   0.4353787303   0.0000000000   0.5401556492
      2     31     3462.4160      2955.9531         0.0000         0.0000         0.0000         0.0000         0.0000         0.0020         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0065         0.0043         0.1792         1.0000       -31.1539       -11.7880        50.0451        -7.1033       564.4289       589.6368        12.3688       139.9126         0.0528        22.0940        25.7112        24.2070         0.1325         0.1396         0.0814  -1.6250127554   0.0000000781   0.3354713619   0.4647945166   0.0000000000   0.5401556492
      2     32     3462.4092      2955.9443         0.0000         0.0000         0.0000         0.0000         0.0000         0.0021         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0065         0.0045         0.1792         1.0000       -33.5772       -12.2806        53.8922        -8.0347       570.4675       596.8455        12.9081       145.0848         0.0528        22.2490        25.9345        24.2316         0.1324         0.1395         0.0815  -1.7113620043   0.0000000785   0.3353642523   0.4771669507   0.0000000000   0.5401556492
      2     33     3462.4028      2955.9360         0.0000         0.0000         0.0000         0.0000         0.0000         0.0022         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0065         0.0047         0.1792         1.0000       -36.0446       -12.7710        57.7620        -8.9466       576.5206       604.0551        13.3266       150.2693         0.0528        22.4040        26.1555        24.2578         0.1324         0.1395         0.0815  -1.7867122889   0.0000000788   0.3338308036   0.4890973866   0.0000000000   0.5401556492
      2     34     3462.3909      2955.9224         0.0000         0.0000         0.0000         0.0000         0.0000         0.0028         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0065         0.0084         0.1792         1.0000       -63.2702       -22.7746       111.9414       -25.8963       665.6840       709.4297        19.0901       221.9898         0.0528        23.5650        29.8279        24.3212         0.1323         0.1394         0.0790  -2.3112328053   0.0000000792   0.2642455697   0.5030087233   0.0000000000   0.5401556492
      2     35     3462.3750      2955.9048         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0065         0.0127         0.1792         1.0000       -90.4338       -34.3074       166.3082       -41.5669       754.2858       809.7421        23.7992       289.3785         0.0528        24.7270        33.2643        24.4186         0.1322         0.1393         0.0729  -2.5179131031   0.0000000796   0.1947377920   0.5156411529   0.0000000000   0.5401556492
      2     36     3462.3516      2955.8792         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0066         0.0199         0.1792         1.0000      -120.3033       -53.3994       235.9744       -62.2721       870.2186       938.7367        28.1611       374.3090         0.0528        26.4530        37.8202        24.5609         0.1321         0.1392         0.0649  -2.9446523190   0.0000000800   0.1572377384   0.5152697563   0.0000000000   0.5401556492
      2     37     3462.3196      2955.8455         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0067         0.0287         0.1792         1.0000      -148.3108       -76.5271       306.8163       -81.9782       987.7375      1067.7505        31.3116       459.1610         0.0528        28.1800        42.2098        24.7455         0.1319         0.1392         0.0572  -2.1706945896   0.0000000806   0.0754101872   0.5159202814   0.0000000000   0.5401556492
      2     38     3462.2852      2955.8091         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0068         0.0315         0.1792         1.0000      -154.4534       -83.8970       325.7613       -87.4104      1020.9260      1105.1595        32.9603       483.7507         0.0528        29.4440        43.5721        24.9403         0.1318         0.1391         0.0568  -2.4419033527   0.0000000812   0.0729829222   0.5229608417   0.0000000000   0.5401556492
      2     39     3462.2473      2955.7693         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0069         0.0344         0.1792         1.0000      -160.3986       -91.6210       344.7207       -92.7004      1054.1187      1142.1758        34.0217       507.9602         0.0528        30.7090        44.9154        25.1449         0.1316         0.1390         0.0561  -2.5926253796   0.0000000819   0.0671130121   0.5296714306   0.0000000000   0.5401556492
      2     40     3462.2104      2955.7307         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0070         0.0338         0.1791         1.0000      -161.2079       -89.8333       342.0770       -91.0353      1049.8296      1139.1404        34.8423       506.8092         0.0528        31.0560        44.7708        25.3438         0.1315         0.1389         0.0579  -2.6190137863   0.0000000827   0.0645838007   0.5395247936   0.0000000000   0.5401556492
      2     41     3462.1738      2955.6921         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0070         0.0331         0.1791         1.0000      -161.6692       -88.1945       339.3233       -89.4593      1045.5188      1135.7195        35.2778       505.1829         0.0528        31.4030        44.6392        25.5373         0.1313         0.1389         0.0595  -2.6406357288   0.0000000834   0.0623677559   0.5489280224   0.0000000000   0.5401556492
      2     42     3462.1396      2955.6560         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0072         1.2100         0.0071         0.0309         0.1791         1.0000      -154.0850       -82.3744       321.2208       -84.7616      1017.6484      1106.5148        35.3012       485.4322         0.0528        31.3830        43.8281        25.7184         0.1312         0.1388         0.0625  -2.6437621117   0.0000000842   0.0622176975   0.5521503091   0.0000000000   0.5401556492
      2     43     3462.1082      2955.6226         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0072         0.0288         0.1791         1.0000      -146.1739       -76.9070       303.1852       -80.1042       989.8672      1076.9196        34.9673       465.2968         0.0528        31.3630        43.0120        25.8874         0.1310         0.1387         0.0654  -2.6443083286   0.0000000849   0.0622724667   0.5551937819   0.0000000000   0.5401556492
      2     44     3462.0801      2955.5928         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0073         0.0238         0.1791         1.0000      -126.5429       -63.5902       258.5090       -68.3756       918.6379       999.2413        33.3481       412.8687         0.0528        30.5390        40.6553        26.0287         0.1309         0.1386         0.0713  -2.5958056450   0.0000000856   0.0674311444   0.5547055602   0.0000000000   0.5401556492
      2     45     3462.0579      2955.5686         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0073         0.0193         0.1791         1.0000      -106.1832       -51.7828       214.4352       -56.4694       848.0062       921.0617        30.7354       360.0754         0.0528        29.7160        38.2297        26.1421         0.1308         0.1386         0.0771  -2.5209541321   0.0000000862   0.0732960850   0.5538371205   0.0000000000   0.5401556492
      2     46     3462.0383      2955.5474         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0074         0.0167         0.1791         1.0000       -97.2865       -44.7173       191.3613       -49.3577       810.0711       878.7822        28.9223       331.5199         0.0528        28.5850        36.8102        26.2386         0.1307         0.1385         0.0792  -2.2187423706   0.0000000868   0.0753720999   0.5415651798   0.0000000000   0.5401556492
      2     47     3462.0212      2955.5286         0.0000         0.0000         0.0000         0.0000         0.0000         0.0025         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0074         0.0142         0.1791         1.0000       -88.1264       -38.2160       168.4210       -42.0787       772.0359       835.4425        26.9131       302.0822         0.0528        27.4550        35.3363        26.3181         0.1306         0.1384         0.0806  -2.0429913998   0.0000000873   0.0851827860   0.5284346342   0.0000000000   0.5401556492
      2     48     3462.0044      2955.5095         0.0000         0.0000         0.0000         0.0000         0.0000         0.0037         0.0000         0.0001         0.0000        -0.0073         1.2100         0.0075         0.0132         0.1791         1.0000       -79.2735       -35.5948       155.3932       -40.5253       754.8223       816.0233        25.9039       286.1511         0.0528        26.7310        35.0825        26.3934         0.1305         0.1383         0.0810  -3.0141646862   0.0000000878   0.1676674336   0.4888637364   0.0000000000   0.5401556492
      2     49     3461.9888      2955.4922         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0074         1.2100         0.0075         0.0124         0.1791         1.0000       -69.2720       -33.2928       141.8603       -39.2957       737.5057       796.1915        25.0250       269.3943         0.0528        26.0070        34.8943        26.4654         0.1304         0.1383         0.0813  -2.5978567600   0.0000000883   0.1706471145   0.4478511810   0.0000000000   0.5401556492
      2     50     3461.9739      2955.4753         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0074         1.2100         0.0075         0.0116         0.1791         1.0000       -54.3603       -31.2202       122.9948       -37.4145       712.8492       764.9609        22.6481       244.5842         0.0528        26.8620        34.5615        26.5326         0.1304         0.1382         0.0815  -2.7145423889   0.0000000888   0.1685862839   0.4257446826   0.0000000000   0.5401556492
      2     51     3462.7183      2956.2180         0.7620         0.0000         0.0031         0.0000         0.7589         0.0035         0.0000         0.0001         0.0000        -0.0074         1.2100         0.0010         0.0108         0.1791         1.0000       -40.6727       -28.9353       104.7653       -35.1571       688.3123       733.7621        20.1760       220.3476         0.0528        27.7170        34.1422        26.5941         0.1326         0.1381         0.0815  -2.8640301228   0.0000000893   0.1707979888   0.4023338854   0.0000000000   0.5401556492
      2     52     3463.4424      2956.9399         0.7620         0.0000         0.0031         0.0000         0.7589         0.0035         0.0000         0.0001         0.0000        -0.0071         1.2100         0.0010         0.0312         0.1792         1.0000       -19.0701       -84.0990       123.4056       -20.2370       687.0867       732.1359        19.9344       238.7128         0.0528        27.8540        30.9445        26.6216         0.1347         0.1380         0.0815  -2.8378083706   0.0000000798   0.1711314023   0.3974980116   0.0000000000   0.5401556492
