Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1     11     3464.8906      2958.6453         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.7388         0.0000       -40.2537        29.5151       405.5490       399.8948         1.1001        14.9244         0.0521        18.6170        17.6070        23.6142         0.1482         0.1518         0.0000  -0.0054261810   0.0000000324   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     12     3464.8914      2958.6440         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.6728         0.0000       -40.2394        29.5663       405.1326       399.4855         1.1115        14.8834         0.0521        18.5410        17.5374        23.5576         0.1481         0.1516         0.0000  -0.0054368172   0.0000000326   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     13     3464.8909      2958.6416         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.6035         0.0000       -40.2264        29.6229       404.7109       399.0706         1.1112        14.8400         0.0521        18.4640        17.4672        23.5013         0.1480         0.1515         0.0000  -0.0054474217   0.0000000328   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     14     3464.8904      2958.6396         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        10.8909         0.0000       -40.1329        29.2418       404.9464       399.2940         1.0983        14.9566         0.0521        18.4990        17.4874        23.4464         0.1478         0.1514         0.0000  -0.0054579969   0.0000000330   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     15     3464.8911      2958.6379         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        11.1751         0.0000       -40.0405        28.8655       405.1829       399.5183         1.0967        15.0723         0.0521        18.5340        17.5079        23.3926         0.1477         0.1513         0.0000  -0.0054685441   0.0000000332   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     16     3464.8911      2958.6362         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        11.3024         0.0000       -39.9842        28.6822       405.1380       399.4831         1.1011        15.1315         0.0521        18.5200        17.4901        23.3398         0.1476         0.1511         0.0000  -0.0054790634   0.0000000334   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     17     3464.8901      2958.6335         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        11.4262         0.0000       -39.9312        28.5048       405.0873       399.4420         1.1008        15.1867         0.0521        18.5050        17.4719        23.2878         0.1475         0.1510         0.0000  -0.0054895571   0.0000000336   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     18     3464.8906      2958.6321         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        11.9325         0.0000       -39.7834        27.8510       405.7637       400.1093         1.0858        15.4267         0.0521        18.6220        17.5526        23.2376         0.1474         0.1509         0.0000  -0.0055000186   0.0000000339   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     19     3464.8899      2958.6296         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        12.4362         0.0000       -39.6393        27.2028       406.4416       400.7779         1.0831        15.6631         0.0521        18.7390        17.6342        23.1892         0.1473         0.1508         0.0000  -0.0055104555   0.0000000341   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     20     3464.8901      2958.6279         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        12.2745         0.0000       -39.4620        27.1877       406.3574       400.7003         1.0980        15.8345         0.0521        18.6960        17.5872        23.1413         0.1472         0.1506         0.0000  -0.0055208630   0.0000000343   0.0000000000   0.0000000000   0.0000000000   0.5269851089
